Date,close,balance,trade,stock_value,whole_value,Close,Sum
0,,4531.870682190347,True,195468.12931780965,200000.0,55.848036947945616,
1,,4531.870682190347,,204332.2878126228,208864.15849481313,58.38065366074937,
2,,4531.870682190347,,200529.80916722276,205061.6798494131,57.294231190635074,
3,,4531.870682190347,,190358.91406701642,194890.78474920677,54.38826116200469,
4,,4531.870682190347,,197262.49481220037,201794.36549439072,56.36071280348582,
5,,235758.00965567274,True,0.0,235758.00965567274,55.75534138791375,973357.7577070306
6,,235758.00965567274,,0.0,235758.00965567274,58.2681832898581,
7,,235758.00965567274,,0.0,235758.00965567274,61.672597390578495,
8,,235758.00965567274,,0.0,235758.00965567274,63.73633389532103,
9,,235758.00965567274,,0.0,235758.00965567274,60.14570472901909,
10,,295554.2426151129,,0.0,295554.2426151129,61.97162574424807,973357.7577070306
11,,295554.2426151129,,0.0,295554.2426151129,55.88550608101525,
12,,295554.2426151129,,0.0,295554.2426151129,57.0922456693777,
13,,295554.2426151129,,0.0,295554.2426151129,59.52034632014806,
14,,295554.2426151129,,0.0,295554.2426151129,57.0311212019525,
15,,246470.19593398552,,0.0,246470.19593398552,59.63292480194666,975004.6042538452
16,,246470.19593398552,,0.0,246470.19593398552,60.10326183270012,
17,,246470.19593398552,,0.0,246470.19593398552,57.669743209108994,
18,,246470.19593398552,,0.0,246470.19593398552,58.85294301012769,
19,,246470.19593398552,,0.0,246470.19593398552,58.17340651653945,
20,,358464.62199743866,,0.0,358464.62199743866,61.88473279912407,983909.2128784799
21,,358464.62199743866,,0.0,358464.62199743866,61.54841302656382,
22,,358464.62199743866,,0.0,358464.62199743866,62.499158948451786,
23,,358464.62199743866,,0.0,358464.62199743866,62.38000834367299,
24,,358464.62199743866,,0.0,358464.62199743866,61.64558525158013,
25,,428478.19523203495,,0.0,428478.19523203495,60.723752822230665,989191.3585754123
26,,428478.19523203495,,0.0,428478.19523203495,61.922039556679536,
27,,428478.19523203495,,0.0,428478.19523203495,62.802753339580605,
28,,428478.19523203495,,0.0,428478.19523203495,60.71303798650592,
29,,428478.19523203495,,0.0,428478.19523203495,61.23529532297776,
30,,410817.9030939212,,0.0,410817.9030939212,60.2555235473225,989107.7433894991
31,,410817.9030939212,,0.0,410817.9030939212,60.0487841189434,
32,,410817.9030939212,,0.0,410817.9030939212,60.266543030323454,
33,,410817.9030939212,,0.0,410817.9030939212,60.50327106935677,
34,,410817.9030939212,,0.0,410817.9030939212,58.82102813577953,
35,,358126.67821367865,,0.0,358126.67821367865,55.8028110264108,987844.1822687341
36,,358126.67821367865,,0.0,358126.67821367865,55.44904871550612,
37,,358126.67821367865,,0.0,358126.67821367865,53.81150337143719,
38,,358126.67821367865,,0.0,358126.67821367865,53.19124610912444,
39,,358126.67821367865,,0.0,358126.67821367865,54.13162445540462,
40,,404773.90533936775,,0.0,404773.90533936775,54.90590146223251,992132.5990084666
41,,404773.90533936775,,0.0,404773.90533936775,54.0437370045418,
42,,404773.90533936775,,0.0,404773.90533936775,52.31897337867827,
43,,404773.90533936775,,0.0,404773.90533936775,50.4254548271761,
44,,404773.90533936775,,0.0,404773.90533936775,48.860461999217655,
45,,219767.24793485834,,0.0,219767.24793485834,48.19289132809223,985403.0900155371
46,,219767.24793485834,,0.0,219767.24793485834,50.22665419599149,
47,,219767.24793485834,,0.0,219767.24793485834,47.93869613971814,
48,,219767.24793485834,,0.0,219767.24793485834,45.181041480641,
49,,219767.24793485834,,0.0,219767.24793485834,41.38798470905554,
50,,157330.2494382124,,0.0,157330.2494382124,39.96209692854854,998450.4855566408
51,,157330.2494382124,,0.0,157330.2494382124,49.8900150440213,
52,,157330.2494382124,,0.0,157330.2494382124,49.33779037652575,
53,,157330.2494382124,,0.0,157330.2494382124,49.8258238027394,
54,,157330.2494382124,,0.0,157330.2494382124,48.74681198646609,
55,,331775.26419179107,,0.0,331775.26419179107,51.60868328942034,1036324.408812249
56,,331775.26419179107,,0.0,331775.26419179107,48.1171155296024,
57,,331775.26419179107,,0.0,331775.26419179107,47.04486011669864,
58,,331775.26419179107,,0.0,331775.26419179107,45.05389828182805,
59,,331775.26419179107,,0.0,331775.26419179107,46.800785142175066,
60,,282957.3999358858,False,19410.458041877795,302367.8579777636,48.526145104694486,1039772.6328660494
61,,282957.3999358858,,19354.117654836882,302311.51759072265,48.3852941370922,
62,,282957.3999358858,,18459.23673778918,301416.636673675,46.148091844472944,
63,,282957.3999358858,,19425.672853817436,302383.07278970326,48.56418213454359,
64,,282957.3999358858,,20210.866793036428,303168.2667289222,50.52716698259107,
65,,226637.74945096092,True,0.0,226637.74945096092,49.07729552348023,1040573.0416172082
66,,226637.74945096092,,0.0,226637.74945096092,47.59504760452303,
67,,226637.74945096092,,0.0,226637.74945096092,47.462397786320935,
68,,226637.74945096092,,0.0,226637.74945096092,46.69278301199335,
69,,226637.74945096092,,0.0,226637.74945096092,46.42350999911994,
70,,100273.93705513148,False,41292.98539796852,141566.9224531,45.88109488663169,1035140.62577229
71,,100273.93705513148,,42386.16363351452,142660.100688646,47.09573737057169,
72,,100273.93705513148,,42103.25664552519,142377.19370065667,46.781396272805765,
73,,100273.93705513148,,41411.72977910085,141685.66683423234,46.01303308788984,
74,,100273.93705513148,,41485.10121913925,141759.03827427072,46.09455691015472,
75,,110289.7890904447,False,44977.34710934718,155267.1361997919,44.97734710934718,1038775.2860631751
76,,110289.7890904447,,42655.34963117349,152945.1387216182,42.65534963117349,
77,,110289.7890904447,,42764.957462431565,153054.74655287626,42.76495746243157,
78,,110289.7890904447,,42883.02643839848,153172.81552884317,42.88302643839848,
