Date,Close,balance,trade,stock_value,whole_value
54,136.425926,116681.159,,68212.963,184894.122
55,139.6961297,219845.9261,TRUE,0,219845.9261
56,138.8599751,219845.9261,,0,219845.9261
57,140.8462631,219845.9261,,0,219845.9261
58,142.1919317,219845.9261,,0,219845.9261
59,141.4191836,219845.9261,,0,219845.9261
60,143.8217268,228536.2725,,0,228536.2725
61,142.5780848,228536.2725,,0,228536.2725
62,140.0013606,228536.2725,,0,228536.2725
63,141.055959,228536.2725,,0,228536.2725
64,143.9889245,228536.2725,,0,228536.2725
65,141.4572705,220701.471,,0,220701.471
66,137.8538313,220701.471,,0,220701.471
67,137.0502546,220701.471,,0,220701.471
68,134.3439727,220701.471,,0,220701.471
69,130.7962939,220701.471,,0,220701.471
70,129.735587,127073.1319,FALSE,103788.4696,230861.6015
71,131.0869035,127073.1319,,104869.5228,231942.6547
72,128.1465633,127073.1319,,102517.2506,229590.3826
73,128.8010539,127073.1319,,103040.8432,230113.9751
74,131.4025179,127073.1319,,105122.0143,232195.1462
75,128.1939231,192735.1995,TRUE,0,192735.1995
76,125.736767,192735.1995,,0,192735.1995
77,120.3709247,192735.1995,,0,192735.1995
78,123.3621825,192735.1995,,0,192735.1995
79,120.722712,192735.1995,,0,192735.1995
80,115.6199216,96306.12953,FALSE,80933.94509,177240.0746
81,121.0894827,96306.12953,,84762.63788,181068.7674
82,115.0773577,96306.12953,,80554.15039,176860.2799
83,117.5155212,96306.12953,,82260.86483,178566.9944
84,119.86218,96306.12953,,83903.52602,180209.6556
85,121.6258223,85492.45471,,85138.07559,170630.5303
86,118.1074782,85492.45471,,82675.23476,168167.6895
87,115.3108326,85492.45471,,80717.58285,166210.0376
88,114.098153,85492.45471,,79868.70708,165361.1618
89,114.0415246,85492.45471,,79829.06721,165321.5219
90,115.5308802,39231.07562,FALSE,138637.0563,177868.1319
91,113.4348738,39231.07562,,136121.8485,175352.9241
92,117.313808,39231.07562,,140776.5695,180007.6452
93,114.9301857,39231.07562,,137916.2228,177147.2984
94,116.7159142,39231.07562,,140059.0971,179290.1727
95,113.3561278,45984.13496,TRUE,102020.515,148004.65
