Date,Close,balance,trade,stock_value,whole_value
123,109.1425743,145987.4483,,43657.02973,189644.4781
124,105.8956976,145987.4483,,42358.27903,188345.7274
125,107.5763277,132474.0467,,43030.53108,175504.5778
126,112.5604875,132474.0467,,45024.19498,177498.2417
127,113.9453714,132474.0467,,45578.14855,178052.1952
128,116.2112925,132474.0467,,46484.51701,178958.5637
129,116.0642336,132474.0467,,46425.69346,178899.7401
130,112.311968,199566.7595,,44924.7872,244491.5467
131,109.5530429,199566.7595,,43821.21715,243387.9766
132,110.21141,199566.7595,,44084.56398,243651.3235
133,109.969771,199566.7595,,43987.9084,243554.6679
134,112.6542416,199566.7595,,45061.69663,244628.4561
135,113.8897668,166614.1707,,45555.90671,212170.0774
136,118.0477193,166614.1707,,47219.08771,213833.2584
137,122.7649981,166614.1707,,49105.99926,215720.17
138,124.3357355,166614.1707,,49734.29418,216348.4649
139,122.5856347,166614.1707,,49034.2539,215648.4246
140,121.7510529,171529.4267,TRUE,0,171529.4267
141,115.9894628,171529.4267,,0,171529.4267
142,121.2615334,171529.4267,,0,171529.4267
143,122.9848674,171529.4267,,0,171529.4267
144,133.8367344,171529.4267,,0,171529.4267
145,135.5508099,232288.5214,,0,232288.5214
146,133.5674957,232288.5214,,0,232288.5214
147,140.3343861,232288.5214,,0,232288.5214
148,143.2660945,232288.5214,,0,232288.5214
149,140.9098279,232288.5214,,0,232288.5214
150,140.2579509,257553.8217,,0,257553.8217
151,139.184024,257553.8217,,0,257553.8217
152,143.6325871,257553.8217,,0,257553.8217
153,141.601769,257553.8217,,0,257553.8217
154,143.7205707,257553.8217,,0,257553.8217
155,144.4747871,277565.9604,,0,277565.9604
156,145.0434432,277565.9604,,0,277565.9604
157,143.1654693,277565.9604,,0,277565.9604
158,142.9569833,277565.9604,,0,277565.9604
159,139.6592584,277565.9604,,0,277565.9604
160,134.2849255,235712.9819,FALSE,13428.49255,249141.4745
161,135.3058726,235712.9819,,13530.58726,249243.5692
162,135.2005042,235712.9819,,13520.05042,249233.0323
163,137.878541,235712.9819,,13787.8541,249500.836
164,131.8407776,235712.9819,,13184.07776,248897.0597
165,130.6176545,152368.7335,FALSE,65308.82727,217677.5608
166,130.4933548,152368.7335,,65246.67738,217615.4109
167,127.7028301,152368.7335,,63851.41505,216220.1486
168,128.6803788,152368.7335,,64340.18941,216708.9229
169,128.4345312,152368.7335,,64217.2656,216585.9991
170,126.7588402,108242.8163,FALSE,76055.30409,184298.1204
171,130.1209001,108242.8163,,78072.54005,186315.3564
172,130.5916917,108242.8163,,78355.01501,186597.8313
173,133.4539567,108242.8163,,80072.37399,188315.1903
174,137.0515124,108242.8163,,82230.90742,190473.7237
175,127.6064564,136680.8709,TRUE,25521.29128,162202.1622
176,129.3589929,136680.8709,,25871.79858,162552.6695
177,128.2375369,136680.8709,,25647.50739,162328.3783
178,124.1037927,136680.8709,,24820.75855,161501.6294
179,125.5957184,136680.8709,,25119.14367,161800.0146
180,123.1465097,85809.4626,FALSE,98517.20773,184326.6703
181,119.1598481,85809.4626,,95327.87846,181137.3411
182,118.0888754,85809.4626,,94471.10033,180280.5629
