Date,Close,balance,trade,stock_value,whole_value
40,162.6247492,141077.3004,FALSE,65049.89968,206127.2
41,164.9609118,141077.3004,,65984.3647,207061.6651
42,164.9921917,141077.3004,,65996.87668,207074.177
43,162.3985324,141077.3004,,64959.41295,206036.7133
44,159.1108064,141077.3004,,63644.32256,204721.6229
45,156.7348297,86618.17922,FALSE,109714.3808,196332.56
46,161.0642709,86618.17922,,112744.9896,199363.1689
47,158.0512952,86618.17922,,110635.9067,197254.0859
48,154.4455876,86618.17922,,108111.9113,194730.0905
49,150.8514503,86618.17922,,105596.0152,192214.1944
50,153.3490745,62580.7779,FALSE,214688.7043,277269.4822
51,157.9651451,62580.7779,,221151.2031,283731.981
52,159.3766215,62580.7779,,223127.2701,285708.048
53,163.1142738,62580.7779,,228359.9833,290940.7612
54,164.2039583,62580.7779,,229885.5417,292466.3196
55,167.2186366,102948.8263,TRUE,66887.45465,169836.2809
56,168.9283643,102948.8263,,67571.34572,170520.172
57,172.3040277,102948.8263,,68921.6111,171870.4374
58,173.3614194,102948.8263,,69344.56776,172293.394
59,174.1138368,102948.8263,,69645.53472,172594.361
60,177.2357541,128543.6351,TRUE,0,128543.6351
61,176.2021146,128543.6351,,0,128543.6351
62,173.6443911,128543.6351,,0,128543.6351
63,173.1433164,128543.6351,,0,128543.6351
64,176.0785441,128543.6351,,0,128543.6351
65,173.9584385,152987.0437,,0,152987.0437
66,171.0352218,152987.0437,,0,152987.0437
67,171.0454258,152987.0437,,0,152987.0437
68,168.8399136,152987.0437,,0,152987.0437
69,165.1568514,152987.0437,,0,152987.0437
70,166.3810345,94339.9959,FALSE,116466.7241,210806.72
71,168.6213603,94339.9959,,118034.9522,212374.9481
72,164.6649159,94339.9959,,115265.4412,209605.4371
73,164.2347785,94339.9959,,114964.345,209304.3409
74,165.9016804,94339.9959,,116131.1763,210471.1722
75,165.7277671,152489.6489,TRUE,99436.66028,251926.3091
76,165.5018864,152489.6489,,99301.13186,251790.7807
77,161.5064647,152489.6489,,96903.8788,249393.5277
78,161.6539472,152489.6489,,96992.36829,249482.0171
79,156.7244301,152489.6489,,94034.65805,246524.3069
80,155.5768693,83590.36589,FALSE,186692.2431,270282.609
81,161.8407759,83590.36589,,194208.9311,277799.297
82,157.1591467,83590.36589,,188590.976,272181.3419
83,157.1826221,83590.36589,,188619.1465,272209.5124
84,158.6018871,83590.36589,,190322.2645,273912.6304
85,163.379918,74652.09467,TRUE,179717.9098,254370.0044
86,157.2345935,74652.09467,,172958.0529,247610.1475
87,156.4452571,74652.09467,,172089.7828,246741.8775
88,152.3387741,74652.09467,,167572.6515,242224.7462
89,152.7711533,74652.09467,,168048.2686,242700.3633
90,147.3018336,36304.13033,FALSE,220952.7504,257256.8807
91,142.4047782,36304.13033,,213607.1673,249911.2976
92,146.2666378,36304.13033,,219399.9567,255704.087
93,144.7188128,36304.13033,,217078.2193,253382.3496
94,148.1120864,36304.13033,,222168.1297,258472.26
95,141.8148016,54120.82952,FALSE,255266.6429,309387.4724
96,137.334464,54120.82952,,247202.0351,301322.8647
97,137.5474332,54120.82952,,247585.3798,301706.2093
98,141.3887745,54120.82952,,254499.7941,308620.6236
99,140.3495534,54120.82952,,252629.1961,306750.0256
100,140.3354534,62102.82766,,252603.8161,314706.6438
101,143.2229339,62102.82766,,257801.281,319904.1087
102,147.982888,62102.82766,,266369.1984,328472.026
103,148.4825557,62102.82766,,267268.6003,329371.428
104,148.5237894,62102.82766,,267342.8209,329445.6485
105,150.4449512,146162.1507,TRUE,195578.4366,341740.5873
106,145.3640932,146162.1507,,188973.3212,335135.4719
107,145.5197467,146162.1507,,189175.6707,335337.8213
108,147.8726517,146162.1507,,192234.4472,338396.5979
109,147.0500287,146162.1507,,191165.0373,337327.188
110,143.0733603,177176.5705,,185995.3685,363171.9389
111,137.7026223,177176.5705,,179013.409,356189.9794
112,132.3935962,177176.5705,,172111.6751,349288.2455
113,132.3026179,177176.5705,,171993.4032,349169.9737
114,134.7247583,177176.5705,,175142.1858,352318.7562
115,130.5438463,158873.9273,,169707.0002,328580.9275
116,131.3838683,158873.9273,,170799.0289,329672.9562
117,135.1521662,158873.9273,,175697.8161,334571.7434
118,134.8575824,158873.9273,,175314.8571,334188.7844
119,138.0464892,158873.9273,,179460.436,338334.3633
120,141.1527919,184412.0354,,183498.6295,367910.6649
121,141.3410532,184412.0354,,183743.3692,368155.4046
122,137.8481062,184412.0354,,179202.538,363614.5734
123,138.8671491,184412.0354,,180527.2939,364939.3292
124,136.6664886,184412.0354,,177666.4352,362078.4706
125,138.0738949,175644.0938,,179496.0633,355140.1572
126,140.9765454,175644.0938,,183269.509,358913.6029
127,142.2455539,175644.0938,,184919.22,360563.3139
128,145.7923445,175644.0938,,189530.0479,365174.1417
129,146.5938767,175644.0938,,190572.0396,366216.1335
130,144.724715,265731.5897,,188142.1296,453873.7193
131,145.4060918,265731.5897,,189027.9193,454759.509
132,144.9246178,265731.5897,,188402.0031,454133.5928
133,147.3632097,265731.5897,,191572.1726,457303.7624
134,149.3818679,265731.5897,,194196.4283,459928.018
135,146.7934114,207406.4656,TRUE,176152.0936,383558.5592
136,150.1376833,207406.4656,,180165.22,387571.6855
137,151.8470461,207406.4656,,182216.4553,389622.9208
138,154.1751854,207406.4656,,185010.2224,392416.688
139,153.735648,207406.4656,,184482.7776,391889.2432
140,152.3765438,206620.6022,TRUE,137138.8894,343759.4916
141,151.1197247,206620.6022,,136007.7522,342628.3545
142,155.100425,206620.6022,,139590.3825,346210.9847
143,156.3261913,206620.6022,,140693.5722,347314.1744
144,161.041686,206620.6022,,144937.5174,351558.1197
145,160.880048,263305.1131,TRUE,48264.01441,311569.1275
146,159.2320539,263305.1131,,47769.61617,311074.7292
147,164.5621701,263305.1131,,49368.65102,312673.7641
148,164.2375627,263305.1131,,49271.26882,312576.3819
149,164.2327574,263305.1131,,49269.82722,312574.9403
150,164.1546736,293294.4693,TRUE,16415.46736,309709.9366
151,163.5491094,293294.4693,,16354.91094,309649.3802
152,167.3904928,293294.4693,,16739.04928,310033.5185
153,167.3293567,293294.4693,,16732.93567,310027.4049
154,170.4505827,293294.4693,,17045.05827,310339.5275
155,171.8135347,322671.0069,TRUE,0,322671.0069
156,171.4917407,322671.0069,,0,322671.0069
157,173.2069418,322671.0069,,0,322671.0069
158,172.657897,322671.0069,,0,322671.0069
159,170.5237528,322671.0069,,0,322671.0069
160,167.0155797,299108.1947,,0,299108.1947
161,166.0899194,299108.1947,,0,299108.1947
162,166.2200494,299108.1947,,0,299108.1947
163,168.3248824,299108.1947,,0,299108.1947
164,163.4774796,299108.1947,,0,299108.1947
165,160.7376008,212748.0556,FALSE,80368.8004,293116.856
166,158.4809683,212748.0556,,79240.48417,291988.5398
167,156.2092495,212748.0556,,78104.62473,290852.6803
168,157.063789,212748.0556,,78531.89449,291279.9501
169,155.2000398,212748.0556,,77600.01988,290348.0755
170,153.8945764,155869.9666,FALSE,153894.5764,309764.543
171,155.028379,155869.9666,,155028.379,310898.3456
172,153.7200896,155869.9666,,153720.0896,309590.0562
173,156.0924014,155869.9666,,156092.4014,311962.368
174,161.6075346,155869.9666,,161607.5346,317477.5012
175,154.1158391,192334.607,TRUE,92469.50344,284804.1104
176,154.5623222,192334.607,,92737.39329,285072.0003
177,152.2080894,192334.607,,91324.85361,283659.4606
178,149.5917144,192334.607,,89755.02861,282089.6356
179,153.5543252,192334.607,,92132.59511,284467.2021
180,155.4438435,122445.9789,FALSE,186532.6122,308978.5911
181,153.3126954,122445.9789,,183975.2345,306421.2134
182,152.342814,122445.9789,,182811.3768,305257.3557
183,150.077886,122445.9789,,180093.4632,302539.4421
184,149.8217134,122445.9789,,179786.056,302232.0349
185,150.9540718,91683.37378,FALSE,211335.7005,303019.0743
186,149.324361,91683.37378,,209054.1054,300737.4792
187,143.0873391,91683.37378,,200322.2748,292005.6486
188,138.546858,91683.37378,,193965.6013,285648.9751
189,141.3824161,91683.37378,,197935.3825,289618.7563
190,144.7301776,85140.85526,,202622.2486,287763.1039
191,145.7270382,85140.85526,,204017.8535,289158.7088
192,145.4423894,85140.85526,,203619.3452,288760.2005
193,140.4381331,85140.85526,,196613.3863,281754.2416
194,139.9299965,85140.85526,,195901.9952,281042.8504
