Date,Open,High,Low,Close,Adj Close,Volume,
2021/7/21,219.869995,221.619995,216.763336,218.429993,218.429993,41859900,起始价格买入
2021/7/22,218.813339,220.723328,214.866669,216.419998,216.419998,45317100,
2021/7/23,215.453339,216.266663,212.433334,214.460007,214.460007,43814700,
2021/7/26,216.990005,222.733337,215.703339,219.206665,219.206665,76009800,
2021/7/27,221.133331,222.166672,209.080002,214.926666,214.926666,98439900,
2021/7/28,215.666672,218.323334,213.133331,215.660004,215.660004,48019800,
2021/7/29,216.596664,227.896667,216.266663,225.78334,225.78334,91183800,
2021/7/30,223.919998,232.509995,223,229.066666,229.066666,88969200,
2021/8/2,233.333328,242.313339,232.800003,236.556671,236.556671,100847400,
2021/8/3,239.666672,240.883331,233.669998,236.580002,236.580002,64860900,
2021/8/4,237,241.633331,236.309998,236.973328,236.973328,51007800,
2021/8/5,238.666672,240.316666,237.136673,238.210007,238.210007,38758800,
2021/8/6,237.300003,238.776672,232.543335,233.03334,233.03334,46869000,
2021/8/9,236.723328,239.676666,235.043335,237.919998,237.919998,44145900,
2021/8/10,237.996674,238.863327,233.960007,236.66333,236.66333,40296900,
2021/8/11,237.570007,238.393326,234.736664,235.940002,235.940002,29401800,
2021/8/12,235.446671,240.933334,233.133331,240.75,240.75,52377300,
2021/8/13,241.236664,243.300003,238.113327,239.056671,239.056671,50194500,
2021/8/16,235.023331,236.5,225.46666,228.723328,228.723328,68032200,
2021/8/17,224.220001,224.860001,216.279999,221.903336,221.903336,71163900,
2021/8/18,223.25,231.92334,223.116669,229.66333,229.66333,61048200,
2021/8/19,226.070007,228.850006,222.529999,224.490005,224.490005,42940500,
2021/8/20,227.616669,230.710007,224.566666,226.753326,226.753326,44525700,
2021/8/23,228.479996,237.376663,226.916672,235.433334,235.433334,60794700,
2021/8/24,236.893326,238.406662,234.213333,236.16333,236.16333,39249300,
2021/8/25,235.676666,238.990005,234.666672,237.066666,237.066666,37936800,
2021/8/26,236.103333,238.46666,232.539993,233.720001,233.720001,39642900,
2021/8/27,235,238.333328,234.03334,237.306671,237.306671,41501400,
2021/8/30,238.240005,243.666672,237.57666,243.636673,243.636673,55812600,
2021/8/31,244.333328,246.796661,242.146667,245.240005,245.240005,62566200,
2021/9/1,244.693329,247.330002,243.756668,244.696671,244.696671,39612900,
2021/9/2,244.833328,246.990005,243.513336,244.130005,244.130005,38331900,
2021/9/3,244.083328,244.666672,241.399994,244.523331,244.523331,45738300,
2021/9/7,246.666672,253.399994,246.419998,250.973328,250.973328,60119400,
2021/9/8,253.860001,254.816666,246.92334,251.289993,251.289993,56379000,
2021/9/9,251.136673,254.03334,250.543335,251.619995,251.619995,42233100,
2021/9/10,253.199997,254.203339,244.839996,245.42334,245.42334,45552600,
2021/9/13,246.736664,248.259995,236.28334,247.666672,247.666672,68857500,
2021/9/14,247.523331,251.490005,245.46666,248.16333,248.16333,55574700,
2021/9/15,248.333328,252.286667,246.119995,251.943329,251.943329,46073100,
2021/9/16,250.943329,252.970001,249.203339,252.330002,252.330002,41770200,
2021/9/17,252.383331,253.679993,250,253.16333,253.16333,84612600,
2021/9/20,244.853333,247.333328,239.539993,243.389999,243.389999,74273100,
2021/9/21,244.929993,248.246674,243.479996,246.460007,246.460007,48992100,
2021/9/22,247.843338,251.223328,246.373337,250.646667,250.646667,45378900,
2021/9/23,251.666672,252.733337,249.306671,251.213333,251.213333,35842500,
2021/9/24,248.630005,258.266663,248.186661,258.130005,258.130005,64119000,
2021/9/27,257.706665,266.333344,256.436676,263.786682,263.786682,84212100,
2021/9/28,262.399994,265.213318,255.393326,259.186676,259.186676,76144200,
2021/9/29,259.933319,264.5,256.893341,260.436676,260.436676,62828700,
2021/9/30,260.333344,263.043335,258.333344,258.493347,258.493347,53868000,
2021/10/1,259.466675,260.26001,254.529999,258.406677,258.406677,51094200,
2021/10/4,265.5,268.98999,258.706665,260.51001,260.51001,91449900,
2021/10/5,261.600006,265.769989,258.066681,260.196655,260.196655,55297800,
2021/10/6,258.733337,262.220001,257.73999,260.916656,260.916656,43898400,
2021/10/7,261.820007,268.333344,261.126678,264.536682,264.536682,57587400,
2021/10/8,265.40332,265.459991,260.303345,261.829987,261.829987,50215800,
2021/10/11,262.549988,267.079987,261.833344,263.980011,263.980011,42600900,
2021/10/12,266.976654,270.773346,265.523346,268.573334,268.573334,66060000,
2021/10/13,270.156677,271.803345,268.593323,270.359985,270.359985,42360300,
2021/10/14,271.829987,273.416656,271.116669,272.773346,272.773346,36741600,
2021/10/15,274.579987,281.070007,274.116669,281.01001,281.01001,56773800,
2021/10/18,283.929993,291.753326,283.823334,290.036682,290.036682,72621600,
2021/10/19,292.51001,292.649994,287.503326,288.089996,288.089996,52143300,
2021/10/20,288.450012,289.829987,285.793335,288.600006,288.600006,42096300,
2021/10/21,285.333344,300,285.166656,298,298,94444500,
2021/10/22,298.5,303.333344,296.986664,303.226654,303.226654,68642400,
2021/10/25,316.843323,348.339996,314.733337,341.619995,341.619995,188556300,第一次涨幅穿过bolling upper band，抛出部分
2021/10/26,341.563324,364.980011,333.813324,339.476654,339.476654,187245000,
