Date,Open,High,Low,Close,Adj Close,Volume,trade,,,,,balance,average_price,shares
2021/7/21,145.529999,146.130005,144.630005,145.399994,143.333206,74993500,FALSE,,,,,85460.0006,145.399994,100
2021/7/22,145.940002,148.199997,145.809998,146.800003,144.713303,77338200,,,,,,85460.0006,145.399994,100
2021/7/23,147.550003,148.720001,146.919998,148.559998,146.448303,71447400,,,,,,85460.0006,145.399994,100
2021/7/26,148.270004,149.830002,147.699997,148.990005,146.872208,72434100,,,,,,85460.0006,145.399994,100
2021/7/27,149.119995,149.210007,145.550003,146.770004,144.683746,104818600,,,,,,85460.0006,145.399994,100
2021/7/28,144.809998,146.970001,142.539993,144.979996,142.919159,118931200,,,,,,85460.0006,145.399994,100
2021/7/29,144.690002,146.550003,144.580002,145.639999,143.569794,56699500,,,,,,85460.0006,145.399994,100
2021/7/30,144.380005,146.330002,144.110001,145.860001,143.786667,70440600,,,,,,85460.0006,145.399994,100
2021/8/2,146.360001,146.949997,145.25,145.520004,143.451508,62880000,,,,,,85460.0006,145.399994,100
2021/8/3,145.809998,148.039993,145.179993,147.360001,145.26535,64786600,,,,,,85460.0006,145.399994,100
2021/8/4,147.270004,147.789993,146.279999,146.949997,144.861191,56368300,,,,,,85460.0006,145.399994,100
2021/8/5,146.979996,147.839996,146.169998,147.059998,144.969635,46397700,,,,,,85460.0006,145.399994,100
2021/8/6,146.350006,147.110001,145.630005,146.139999,144.278534,54126800,,,,,,85460.0006,145.399994,100
2021/8/9,146.199997,146.699997,145.520004,146.089996,144.229172,48908700,,,,,,85460.0006,145.399994,100
2021/8/10,146.440002,147.710007,145.300003,145.600006,143.745438,69023100,,,,,,85460.0006,145.399994,100
2021/8/11,146.050003,146.720001,145.529999,145.860001,144.002106,48493500,,,,,,85460.0006,145.399994,100
2021/8/12,146.190002,149.050003,145.839996,148.889999,146.9935,72282600,,,,,,85460.0006,145.399994,100
2021/8/13,148.970001,149.440002,148.270004,149.100006,147.200836,59375000,,,,,,85460.0006,145.399994,100
2021/8/16,148.539993,151.190002,146.470001,151.119995,149.195099,103296000,,,,,,85460.0006,145.399994,100
2021/8/17,150.229996,151.679993,149.089996,150.190002,148.276978,92229700,,,,,,85460.0006,145.399994,100
2021/8/18,149.800003,150.720001,146.149994,146.360001,144.495728,86326000,,,,,,85460.0006,145.399994,100
2021/8/19,145.029999,148,144.5,146.699997,144.831421,86960300,,,,,,85460.0006,145.399994,100
2021/8/20,147.440002,148.5,146.779999,148.190002,146.302429,60549600,,,,,,85460.0006,145.399994,100
2021/8/23,148.309998,150.190002,147.889999,149.710007,147.803085,60131800,,,,,,85460.0006,145.399994,100
2021/8/24,149.449997,150.860001,149.149994,149.619995,147.714203,48606400,,,,,,85460.0006,145.399994,100
2021/8/25,149.809998,150.320007,147.800003,148.360001,146.470261,58991300,,,,,,85460.0006,145.399994,100
2021/8/26,148.350006,149.119995,147.509995,147.539993,145.660721,48597200,,,,,,85460.0006,145.399994,100
2021/8/27,147.479996,148.75,146.830002,148.600006,146.707214,55802400,,,,,,85460.0006,145.399994,100
2021/8/30,149,153.490005,148.610001,153.119995,151.169632,90956700,TRUE,,,,,93116.00035,145.399994,50
2021/8/31,152.660004,152.800003,151.289993,151.830002,149.896072,86453100,,,,,,93116.00035,145.399994,50
2021/9/1,152.830002,154.979996,152.339996,152.509995,150.567398,80313700,,,,,,93116.00035,145.399994,50
2021/9/2,153.869995,154.720001,152.399994,153.649994,151.692871,71115500,,,,,,93116.00035,145.399994,50
2021/9/3,153.759995,154.630005,153.089996,154.300003,152.334579,57808700,,,,,,93116.00035,145.399994,50
2021/9/7,154.970001,157.259995,154.389999,156.690002,154.694183,82278300,,,,,,93116.00035,145.399994,50
2021/9/8,156.979996,157.039993,153.979996,155.110001,153.134277,74420200,,,,,,93116.00035,145.399994,50
2021/9/9,155.490005,156.110001,153.949997,154.070007,152.107513,57305700,,,,,,93116.00035,145.399994,50
2021/9/10,155,155.479996,148.699997,148.970001,147.072495,140893200,,,,,,93116.00035,145.399994,50
2021/9/13,150.630005,151.419998,148.75,149.550003,147.645096,102404300,,,,,,93116.00035,145.399994,50
2021/9/14,150.350006,151.070007,146.910004,148.119995,146.233292,109296300,,,,,,93116.00035,145.399994,50
2021/9/15,148.559998,149.440002,146.369995,149.029999,147.131714,83281300,,,,,,93116.00035,145.399994,50
2021/9/16,148.440002,148.970001,147.220001,148.789993,146.894775,68034100,,,,,,93116.00035,145.399994,50
2021/9/17,148.820007,148.820007,145.759995,146.059998,144.199554,129868800,,,,,,93116.00035,145.399994,50
2021/9/20,143.800003,144.839996,141.270004,142.940002,141.119324,123478900,,,,,,93116.00035,145.399994,50
2021/9/21,143.929993,144.600006,142.779999,143.429993,141.603058,75834000,,,,,,93116.00035,145.399994,50
2021/9/22,144.449997,146.429993,143.699997,145.850006,143.992233,76404300,,,,,,93116.00035,145.399994,50
2021/9/23,146.649994,147.080002,145.639999,146.830002,144.959747,64838200,,,,,,93116.00035,145.399994,50
2021/9/24,145.660004,147.470001,145.559998,146.919998,145.048599,53477900,,,,,,93116.00035,145.399994,50
2021/9/27,145.470001,145.960007,143.820007,145.369995,143.518356,74150700,,,,,,93116.00035,145.399994,50
2021/9/28,143.25,144.75,141.690002,141.910004,140.102432,108972300,,,,,,93116.00035,145.399994,50
2021/9/29,142.470001,144.449997,142.029999,142.830002,141.010696,74602000,,,,,,93116.00035,145.399994,50
2021/9/30,143.660004,144.380005,141.279999,141.5,139.697647,89056700,,,,,,93116.00035,145.399994,50
2021/10/1,141.899994,142.919998,139.110001,142.649994,140.832962,94639600,,,,,,93116.00035,145.399994,50
2021/10/4,141.759995,142.210007,138.270004,139.139999,137.367706,98322000,,,,,,93116.00035,145.399994,50
2021/10/5,139.490005,142.240005,139.360001,141.110001,139.312622,80861100,,,,,,93116.00035,145.399994,50
